Top 100 - Current Balance - Block 2146787
Address	Balance (CRUR)	%
1	67mZqJr4YUrMCcQ5xGCuhHhXSvqx97TaqB	198082878.54942369	3.65
2	66r1JRZwPWu5bp5wGkhMRxNMhF7FGeybCs	117820140.49630122	2.17
3	5rRREuFvs2ApHVYdW2bdGSdpKdVVawcMwY	99999999.94000000	1.84
4	65WBzkWCkjeaLzNqGFa57YSx41uNxFEJcW	99999994.00900000	1.84
5	64XDzM4bwAyCAUGGkws7Yn9aYid1gpowQT	99999949.33211608	1.84
6	61nFy57dt41qVU1MpG4iG4cUUAqNe3xPC3	99999898.00900000	1.84
7	5qt6QjcykAiXNo2EFibqTpYxToLwH3sLBg	99999186.13085270	1.84
8	6BnREo3zUhdZn6h8kB38NhAsrUSyg7ybAE	99996998.59348622	1.84
9	5xVqfkyUABx9Ag5Yz5U7ucKFP6JYi57ADt	99989999.00900000	1.84
10	5qw99YD82dZqT6mW2gh1GVxgn3C6uo5e7z	99979575.88530740	1.84
11	6AE4LWX9F3sDvXMn6UQ7fCLr5HVCA62BZF	99973404.26270570	1.84
12	61ueWjMQSR1eg7o192h4KPBwPfUAxYuRPM	99949938.13900000	1.84
13	5wh38mKrSb6Hgu2QfANVxmy5HJN9ar5ZpX	99949265.10559328	1.84
14	5uRfaWdkxqAU3keUZzGyjqASf3LR6wZqyw	99928499.00900000	1.84
15	63ehVASMvtU6vcuE3gJUFStrFm9grkNCNH	99899999.00900000	1.84
16	5vkzLLKkrGgKdK34o6nhpxrS6vRRL9ecBE	99881140.80042651	1.84
17	6DGxdsUHTuHWXJrRSAi7v4nmzpmrGYDDif	99865095.80442716	1.84
18	65wvfzjhemaa6pLHV3dv5owvDusmqwNr6p	99852344.31838124	1.84
19	61BFMXZvQnkWPMwDDwhjjmyELBHLJQnVjm	99749186.05855854	1.84
20	67ejc2MLqiTfYM7PDfF8p1RiNkjaHTJ8Tf	99743316.37426946	1.84
21	6Dno7TfYN5EYJWrXhh1mQixWHKnoZftFGo	99743077.85131536	1.84
22	65AnbBuMhEzjeNfm42MouSvBtFdRH2v8cE	99741670.66468664	1.84
23	5xmtZUfeSonzUfX13hjKLY1BJ6b5JV9wFM	99731444.11878043	1.84
24	68wL2UTBmP4c45Tv8XKeiQoJpVEKLW3EJr	99690617.77147505	1.84
25	61fThdy2qmjLVkv2SzvSsWyWAoYSN8oPfa	99599999.00900000	1.83
26	62Z8auvYPPuPUiPYfWLYY5GHGZmZuyZxFj	99549999.00900000	1.83
27	65aLH3ALzfb8VpjALQ3mCGSkhaZL4GCaks	99499999.00900000	1.83
28	63Qx52cuWnDYAGHvUqFd1qWT5GfKbCV4YR	99457387.23899999	1.83
29	5tmAPkuAytoFLT2qPYLWhTvPjhVhBxUF5s	99411863.81786470	1.83
30	68jXtLsMC47hs6Gsj4w6nRNNvmpoZS1eUy	99344454.59444553	1.83
